uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
DHFR-D009190	0.422	3	DHFR-D009190	DHFR	D009190	Myelodysplastic Syndromes	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	hematology	omim/tcga	unsupported target	II
DHFR-D009369	0.225	3	DHFR-D009369	DHFR	D009369	Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	gwas	unsupported target	II
DHFR-D010051	0.19	2	DHFR-D010051	DHFR	D010051	Ovarian Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	oncology	gwas	unsupported target	I
DHFR-D011471	0.19	2	DHFR-D011471	DHFR	D011471	Prostatic Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	oncology	both	unsupported target	I
DHFR-D011565	0.191	5	DHFR-D011565	DHFR	D011565	Psoriasis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2014	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	dermatology	both	unsupported target	Launched
DHFR-D012164	0.205	4	DHFR-D012164	DHFR	D012164	Retinal Diseases	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	OMIM	NA	NA	2	ophthalmology	both	unsupported target	III
DHFR-D012174	0.199	3	DHFR-D012174	DHFR	D012174	Retinitis Pigmentosa	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	1	ophthalmology, congenital	both	unsupported target	II
DHFR-D013167	0.184	3	DHFR-D013167	DHFR	D013167	Spondylitis, Ankylosing	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	musculoskeletal	both	unsupported target	II
DHFR-D014123	0.188	2	DHFR-D014123	DHFR	D014123	Toxoplasmosis	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	infection	gwas	unsupported target	I
DHFR-D014605	0.193	3	DHFR-D014605	DHFR	D014605	Uveitis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	ophthalmology	gwas	unsupported target	II
